code,name,category,description,status,condition
E209,Пара-оксибензойной кислоты гептиловый эфир,Консерванты,"Пара-оксибензойной кислоты гептиловый эфир (Heptyl p-Hydroxybenzoate)",halal,
E210,Бензойная кислота,Консерванты,"Бензойная кислота (Benzoic Acid)",halal,
E211,Бензоат натрия,Консерванты,"Бензоат натрия (Sodium benzoate)",halal,
E212,Бензоат калия,Консерванты,"Бензоат калия (Potassium benzoate)",undefined,
E213,Бензоат кальция,Консерванты,"Бензоат кальция (Calcium benzoate)",undefined,
E214,Пара-Оксибензойной кислоты этиловый эфир,Консерванты,"Пара-Оксибензойной кислоты этиловый эфир (Ethyl p-Hydroxybenzoate)",halal,
E215,Пара-Оксибензойной кислоты этилового эфира натриевая соль,Консерванты,"Пара-Оксибензойной кислоты этилового эфира натриевая соль (Sodium ethyl p-Hydroxybenzoate)",halal,
E218,Пара-Оксибензойной кислоты метиловый эфир,Консерванты,"Пара-Оксибензойной кислоты метиловый эфир (Methyl p-Hydroxybenzoate)",halal,
E219,Пара-Оксибензойной кислоты метилового эфира натриевая соль,Консерванты,"Пара-Оксибензойной кислоты метилового эфира натриевая соль (Sodium methyl p-Hydroxybenzoate)",undefined,
E220,Диоксид серы,Консерванты,"Диоксид серы (Sulphur dioxide)",halal,
E221,Сульфит натрия,Консерванты,"Сульфит натрия (Sodium sulphite)",halal,
E222,Гидросульфит натрия,Консерванты,"Гидросульфит натрия (Sodium hydrogen sulphite)",halal,
E223,Пиросульфит натрия,Консерванты,"Пиросульфит натрия (Sodium metabisulphite)",halal,
E224,Пиросульфит калия,Консерванты,"Пиросульфит калия (Potassium metabisulphit)",halal,
E225,Сульфит калия,Консерванты,"Сульфит калия (Potassium sulphite)",halal,
E226,Сульфит кальция,Консерванты,"Сульфит кальция (Calcium sulphite)",halal,
E227,Гидросульфит кальция,Консерванты,"Гидросульфит кальция (Calcium hydrogen sulphite)",halal,
E228,Гидросульфит калия,Консерванты,"Гидросульфит (бисульфит) калия (Potassium bisulphite)",halal,
E230,Дифенил,Консерванты,"Дифенил (Diphenyl)",halal,
E231,Орто-Фенилфенол,Консерванты,"Орто-Фенилфенол (orto-phenylphenol)",undefined,
E232,Орто-Фенилфенола натриевая соль,Консерванты,"Орто-Фенилфенола натриевая соль (О-Phenylphenol Sodium)",halal,
E234,Низин,Консерванты,"Низин (Nisin)",halal,
E235,Пимарицин,Консерванты,"Пимарицин, Натамицин (Pimaricin, natamycin)",halal,
E236,Муравьиная кислота,Консерванты,"Муравьиная кислота (Formic acid)",halal,
E237,Формиат натрия,Консерванты,"Формиат натрия (Sodium formate)",halal,
E238,Формиат кальция,Консерванты,"Формиат кальция (Calcium formate)",halal,
E239,Гексаметилентетрамин,Консерванты,"Гексаметилентетрамин (Hexamethylene tetramine)",halal,
E241,Гваяковая камедь,Консерванты,"Гваяковая камедь (ОЦМ guaicum)",halal,
E242,Диметилдикарбонат,Консерванты,"Диметилдикарбонат (Велькорин) (Dimethyl dicarbonate)",halal,
E249,Нитрит калия,Консерванты,"Нитрит калия (Potassium nitrite)",halal,
E250,Нитрит натрия,Консерванты,"Нитрит натрия (Sodium nitrite)",halal,
E251,Нитрат натрия,Консерванты,"Нитрат натрия (Sodium nitrate)",halal,
E252,Нитрат калия,Консерванты,"Нитрат калия (Роtаssiuм nitrate)",halal,
E260,Уксусная кислота ледяная,Консерванты,"Уксусная кислота ледяная (Acetic acid glacial)",halal,
E261,Ацетаты калия,Консерванты,"Ацетаты калия (Potassium acetates), Ацетат калия (Potassium acetate), Диацетат калия (Potassium diacetate)",halal,
E262,Ацетаты натрия,Консерванты,"Ацетаты натрия (Sodium acetates), Ацетат натрия (Sodium acetate), Диацетат натрия (Sodium diacetate)",halal,
E263,Ацетат кальция,Консерванты,"Ацетат кальция (Calcium acetates)",halal,
E264,Ацетат аммония,Консерванты,"Ацетат аммония (Ammonium acetate)",halal,
E265,Дегидрацетовая кислота,Консерванты,"Дегидрацетовая кислота (Dehydro acetic acid)",halal,
E266,Дегидрацетат натрия,Консерванты,"Дегидрацетат натрия (Sodium dehydroacetate)",halal,
E270,Молочная кислота,Консерванты,"Молочная кислота L-, D-, и DL- (Lactic acid,L-, D- and DL-)",halal,
E280,Пропионовая кислота,Консерванты,"Пропионовая кислота (Propionic acid)",undefined,
E281,Пропионат натрия,Консерванты,"Пропионат натрия (Sodium propionate)",undefined,
E282,Пропионат кальция,Консерванты,"Пропионат кальция (Calcium propionate)",undefined,
E283,Пропионат калия,Консерванты,"Пропионат калия (Potassium propionate)",undefined,
E290,Диоксид углерода,Консерванты,"Диоксид углерода (Carbon dioxide)",halal,
E296,Яблочная кислота,Консерванты,"Яблочная кислота (Malic acid, DL-)",halal,
E297,Фумаровая кислота,Консерванты,"Фумаровая кислота (Fumaric acid)",halal,
E300,,Антиокислители,,undefined,
E399,,Антиокислители,"Повышают срок хранения продуктов, защищая их от микробов, грибков, бактериофагов, химические стерилизующие добавки при созревании вин, дезинфектанты",undefined,
E300,Аскорбиновая кислота,Антиокислители,"Аскорбиновая кислота, L- (Ascorbic asid, L-)",halal,
E301,Аскорбат натрия,Антиокислители,"Аскорбат натрия (Sodium ascorbate)",undefined,
E302,Аскорбат кальция,Антиокислители,"Аскорбат кальция (Calcium ascorbate)",halal,
E303,Аскорбат калия,Антиокислители,"Аскорбат калия (Potassium ascorbate)",halal,
E304,Аскорбилпальмитат,Антиокислители,"Аскорбилпальмитат (Ascorbyl palmitate)",halal,
E305,Аскорбилстеарат,Антиокислители,"Аскорбилстеарат (Ascorbyl stearate)",undefined,
E306,Токоферолы,Антиокислители,"Токоферолы, концентрат смеси (Mixed Tocopherols concen- ntrate)",halal,
E307,Aльфа-Токоферол,Антиокислители,"Aльфа-Токоферол (Alpha-tog opherol)",halal,
E308,Гамма-Токоферол синтетический,Антиокислители,"Гамма-Токоферол синтетический (Syntethic Gamma-tocop- pherol)",halal,
E309,Дельта-Токоферол синтетический,Антиокислители,"Дельта-Токоферол синтетический (Syntethic Delta-tocophe- erol)",halal,
E310,Пропилгаллат,Антиокислители,"Пропилгаллат (Propyl gallate)",halal,
E311,Октилгаллат,Антиокислители,"Октилгаллат (Octyl gallate)",halal,
E312,Додецилгаллат,Антиокислители,"Додецилгаллат (Dodecyl gallate)",undefined,
E314,Гваяковая смола,Антиокислители,"Гваяковая смола (Guaiac resin)",undefined,
E315,Изоаскорбиновая кислота,Антиокислители,"Изоаскорбиновая (эриторбовая) кислота (Isoascorbic acid, Erythorbic acid)",halal,
E316,Изоаскорбат натрия,Антиокислители,"Изоаскорбат натрия (Sodium isoascorbate)",halal,
E317,Изоаскорбат калия,Антиокислители,"Изоаскорбат калия (Potassim isoascorbate)",halal,
E318,Изоаскорбат кальция,Антиокислители,"Изоаскорбат кальция (Calcium isoascorbate)",halal,
