Code;Name;Category;Description;Status
E214;;Консерванты;Пара-Оксибензойной кислоты этиловый эфир (Ethyl p-Hyd- droxybenzoate). Консервант. Халяль.;Халяль
E215;;Консерванты;Пара-Оксибензойной кислоты этилового эфира натриевая соль (Sodium ethyl p-Hydroxybenzoate). Консервант. Халяль.;Халяль
E218;;Консерванты;Пара-Оксибензойной кислоты метиловый эфир (Methyl p-Hydroxybenzoate). Консервант. Халяль.;Халяль
E219;;Консерванты;Пара-Оксибензойной кислоты метилового эфира натриеевая соль (Sodium methyl p-Hydroxybenzoate). Консервант. Халляль.;Не определено
E220;;Консерванты;Диоксид серы (Sulphur dioxide). Консервант, антиокислиттель. Халяль.;Халяль
E221;;Консерванты;Сульфит натрия (Sodium sulphite). Консервант, антиокисллитель. Халяль.;Халяль
E222;;Консерванты;Гидросульфит натрия (Sodium hydrogen sulphite). Консерввант, антиокислитель. Халяль.;Халяль
E223;;Консерванты;Пиросульфит натрия (Sodium metabisulphite). Консерввант, антиокислитель, отбеливающий агент. Халяль.;Халяль
E224;;Консерванты;Пиросульфит калия (Potassium metabisulphit). Консервант, антиокислитель. Халяль.;Халяль
E225;;Консерванты;Сульфит калия (Potassium sulphite). Консервант, антиоокислитель. Халяль.;Халяль
E226;;Консерванты;Сульфит кальция (Calcium sulphite). Консервант, антиоокислитель. Халяль.;Халяль
E227;;Консерванты;Гидросульфит кальция (Calcium hydrogen sulphite). Конссервант, антиокислитель. Халяль.;Халяль
E228;;Консерванты;Гидросульфит (бисульфит) калия (Potassium bisulphite). Консервант, антиокислитель. Халяль.;Халяль
E230;;Консерванты;Дифенил (Diphenyl). Консервант. Халяль.;Халяль
E231;;Консерванты;Орто-Фенилфенол (orto-phenylphenol). Консервант. Халляль.;Не определено
E232;;Консерванты;Орто-Фенилфенола натриевая соль (О-Phenylphenol Sodi- ium). Консервант. Халяль.;Халяль
E234;;Консерванты;Низин (Nisin). Консервант. Халяль.;Халяль
E235;;Консерванты;Пимарицин, Натамицин (Pimaricin, natamycin). Консерввант. Халяль.;Халяль
E236;;Консерванты;Муравьиная кислота (Formic acid). Консервант. Халяль.;Халяль
E237;;Консерванты;Формиат натрия (Sodium formate). Консервант. Халяль.;Халяль
E238;;Консерванты;Формиат кальция (Calcium formate). Консервант. Халяль.;Халяль
E239;;Консерванты;Гексаметилентетрамин (Hexamethylene tetramine). Конссервант. Халяль.;Халяль
E241;;Консерванты;Гваяковая камедь (ОЦМ guaicum). Консервант. Халяль.;Халяль
